# ra dec J-H H-K
51.9046 31.0027 0.4950 0.5400
51.8710 31.0076 0.8050 0.6060
51.9028 31.0112 0.5450 0.4460
51.8221 31.0314 0.7890 0.5370
51.8287 31.0405 0.4870 0.3890
51.9964 31.0531 0.6830 0.5530
51.9311 31.0700 1.0320 0.7880
51.8497 31.0779 0.4780 0.8320
51.9014 31.0817 0.2590 0.4450
51.7662 31.0821 0.7580 0.5360
51.9645 31.0950 0.5880 0.6320
51.9726 31.1046 0.5000 0.4700
51.9220 31.1166 0.4280 0.4600
51.7878 31.1284 0.8680 0.8110
51.9053 31.1348 0.3890 0.4310
51.9279 31.1354 0.4680 0.5260
51.9881 31.1595 0.6530 0.4560
51.7547 31.1596 0.6110 0.5750
51.9822 31.1652 0.4650 0.3860
51.9997 31.1675 0.2010 0.8490
51.9938 31.1836 0.8810 0.8740
51.8939 31.1880 0.5920 0.4410
51.9710 31.1904 0.7560 0.5050
51.7669 31.1910 0.6420 0.7760
51.8884 31.2203 0.5830 0.4730
51.8500 31.2207 0.3490 0.4700
51.9908 31.2311 0.4000 0.8630
51.8356 31.2555 0.5830 0.4820
51.9100 31.2568 0.5480 0.9040
51.8356 31.2603 0.4930 0.9940
51.8349 31.2638 0.6180 0.8120
51.8372 31.2642 0.6860 0.7020
51.9162 31.2829 0.7360 0.8330
51.8472 31.2836 0.3800 0.4040
51.8779 31.2837 0.8570 0.8990
51.8038 31.2967 0.7220 0.4980
51.8438 31.3090 0.1630 0.4840
51.7970 31.3247 0.6970 0.7780
51.8401 31.3257 0.1500 1.4330
51.9437 31.3283 0.4280 0.3680
51.9851 31.3403 0.7680 0.5950
51.7685 31.3410 0.0680 0.4500
51.7977 31.3744 0.4750 0.3560
51.8426 31.3806 0.4260 0.4800
51.9875 31.3874 1.0990 0.7320
51.7793 31.3898 0.3580 0.3500
51.9126 31.4033 1.0330 0.7900
51.7891 31.4427 0.6730 0.6380
